[41.84, -87.72]	1027
[41.85, -87.68]	27862
[41.88, -87.65]	813595
[41.92, -87.64]	2329743
[41.94, -87.73]	53656
[41.95, -87.69]	42201
[41.96, -87.82]	4943
[41.97, -87.78]	713
[41.98, -87.66]	163517
[42.0, -87.73]	32827
[42.02, -87.75]	402
[42.08, -88.01]	11140
[41.75, -87.6]	1
[41.76, -87.65]	36
[41.78, -87.74]	4
[41.82, -87.73]	1378
[41.83, -87.69]	2450
[41.85, -87.78]	450
[41.86, -87.66]	68183
[41.88, -87.75]	29
[41.92, -87.74]	246268
[41.94, -87.83]	4
[41.95, -87.79]	4710
[41.97, -87.88]	21
[41.98, -87.76]	37901
[42.08, -87.76]	61675
[41.77, -87.7]	280
[41.79, -87.61]	255
[41.86, -87.76]	113
[41.88, -87.7]	5252
[41.89, -87.62]	2357233
[41.9, -87.71]	13033
[41.95, -87.89]	12
[41.96, -87.66]	322144
[41.98, -87.86]	638
[41.99, -87.7]	1060
[41.77, -87.62]	28
[41.79, -87.71]	28
[41.8, -87.68]	90
[41.81, -87.61]	823
[41.84, -87.66]	14926
[41.87, -87.63]	658846
[41.89, -87.72]	732
[41.93, -87.71]	10276
[41.93, -87.8]	265
[41.94, -87.67]	171893
[41.96, -87.76]	1951
[41.99, -87.73]	563318
[42.0, -87.67]	6047
[42.01, -87.73]	35103
[42.03, -87.82]	3
[42.04, -87.78]	3549
[41.75, -87.63]	635
[41.76, -87.59]	20
[41.78, -87.68]	854
[41.79, -87.7]	142
[41.81, -87.6]	1460
[41.81, -87.71]	2202
[41.82, -87.67]	884
[41.84, -87.76]	13
[41.87, -87.73]	3158
[41.88, -87.69]	16473
[41.89, -87.82]	7
[41.9, -87.8]	1
[41.91, -87.72]	297047
[41.92, -87.68]	125414
[41.93, -87.81]	75
[41.94, -87.77]	11893
[41.96, -87.86]	3
[42.0, -87.77]	22
[42.02, -87.79]	2
[41.76, -87.69]	10
[41.82, -87.77]	504
[41.85, -87.63]	39693
[41.88, -87.79]	8
[41.9, -87.65]	1064819
[41.91, -87.82]	21
[41.92, -87.78]	12
[41.95, -87.64]	376
[41.97, -87.73]	11099
[42.0, -87.7]	226
[42.05, -87.75]	478
[41.73, -87.63]	262
[41.79, -87.65]	939
[41.83, -87.64]	14526
[41.85, -87.73]	313
[41.86, -87.61]	62
[41.89, -87.66]	465235
[41.9, -87.75]	551
[41.93, -87.65]	4529469
[41.95, -87.74]	2952
[41.97, -87.83]	1605
[41.98, -87.71]	3590
[41.99, -87.67]	6035
[42.03, -87.76]	1005
[41.74, -87.61]	8
[41.74, -87.7]	15
[41.75, -87.57]	5
[41.77, -87.66]	56
[41.79, -87.75]	982
[41.81, -87.65]	272
[41.83, -87.74]	218
[41.85, -87.7]	4857
[41.86, -87.71]	3243
[41.87, -87.67]	29113
[41.89, -87.76]	69
[41.9, -87.85]	3
[41.91, -87.66]	1278782
[41.93, -87.75]	51362
[41.95, -87.84]	1540
[41.96, -87.7]	14361
[41.98, -87.81]	268
[41.99, -87.77]	246
[42.01, -87.77]	4
[42.03, -87.86]	1
[41.74, -87.71]	4
[41.75, -87.67]	51
[41.8, -87.63]	1976
[41.81, -87.75]	51
[41.84, -87.61]	230
[41.87, -87.77]	406
[41.87, -87.8]	117
[41.91, -87.76]	141
[41.96, -87.71]	22498
[41.97, -87.67]	38609
[41.98, -87.8]	170
[41.98, -87.91]	453246
[42.06, -87.82]	211
[41.78, -87.63]	1609
[41.79, -87.59]	285
[41.8, -87.73]	1198
[41.82, -87.62]	2646
[41.84, -87.71]	15769
[41.85, -87.67]	54601
[41.88, -87.64]	5487210
[41.9, -87.69]	47319
[41.92, -87.63]	22141
[41.94, -87.72]	5428
[41.95, -87.68]	105803
[41.96, -87.81]	233
[41.97, -87.77]	844
[41.98, -87.65]	40
[42.0, -87.72]	18
[42.02, -87.74]	1416
[41.73, -87.67]	16
[41.76, -87.64]	4
[41.78, -87.73]	2
[41.79, -87.69]	593
[41.82, -87.72]	6701
[41.83, -87.68]	631
[41.85, -87.77]	441
[41.86, -87.65]	26956
[41.88, -87.74]	3680
[41.89, -87.8]	1
[41.9, -87.79]	15
[41.91, -87.7]	12933
[41.92, -87.73]	31250
[41.93, -87.69]	57634
[41.94, -87.82]	349
[41.95, -87.78]	6248
[41.97, -87.87]	11955
[41.98, -87.75]	250
[42.0, -87.82]	786
[42.08, -87.75]	3
[41.74, -87.65]	13
[41.77, -87.6]	4
[41.81, -87.69]	223
[41.83, -87.78]	15
[41.86, -87.75]	198
[41.93, -87.79]	238
[41.96, -87.65]	75442
[41.98, -87.85]	26
[42.06, -87.76]	1033
[41.77, -87.61]	145
[41.8, -87.67]	727
[41.81, -87.79]	3
[41.84, -87.65]	13654
[41.87, -87.62]	898765
[41.89, -87.71]	4283
[41.93, -87.7]	46387
[41.94, -87.66]	579895
[41.96, -87.75]	979
[41.99, -87.72]	105905
[42.0, -87.66]	134
[42.04, -87.77]	5
[41.72, -87.65]	1
[41.75, -87.62]	6
[41.76, -87.58]	1
[41.78, -87.67]	1269
[41.79, -87.6]	691
[41.8, -87.77]	273
[41.82, -87.66]	3717
[41.84, -87.75]	115
[41.87, -87.72]	2042
[41.88, -87.68]	29477
[41.9, -87.7]	26463
[41.91, -87.71]	48908
[41.92, -87.67]	329969
[41.94, -87.76]	5165
[41.95, -87.8]	12554
[41.96, -87.85]	19315
[41.98, -87.69]	10539
[42.0, -87.76]	23618
[42.01, -87.82]	3
[42.02, -87.78]	1
[41.74, -87.59]	1
[41.76, -87.68]	5
[41.82, -87.76]	24
[41.85, -87.62]	73581
[41.86, -87.69]	4159
[41.88, -87.78]	3
[41.9, -87.64]	4373606
[41.91, -87.81]	2
[41.92, -87.77]	940
[41.97, -87.72]	44056
[41.98, -87.79]	133
