Degrees Latitude,Degrees Longitude,Density
41.89,-87.74,1.838849091
41.91,-87.64,6.036110067
41.93,-87.73,3.889917683
41.94,-87.69,4.185230416
41.95,-87.82,2.966141733
41.96,-87.78,2.969881644
41.99,-87.75,1.643452676
42.01,-87.75,2.045322979
41.75,-87.65,0.77815125
41.8,-87.61,2.184691431
41.81,-87.73,1.86332286
41.82,-87.69,2.686636269
41.87,-87.75,1.176091259
41.91,-87.74,2.62324929
41.92,-87.8,0.77815125
41.94,-87.79,2.012837225
41.97,-87.65,3.386498966
42.07,-87.76,3.755798657
41.78,-87.61,2.136720567
41.8,-87.71,1.113943352
41.82,-87.79,2.309630167
41.85,-87.65,3.360025089
41.88,-87.62,5.562972925
41.9,-87.67,5.023157769
41.95,-87.66,4.847591166
41.97,-87.75,2.382017043
42.04,-87.81,1
41.73,-87.65,0.301029996
41.76,-87.62,1.041392685
41.77,-87.58,1.176091259
41.78,-87.6,1.278753601
41.79,-87.67,1.380211242
41.8,-87.7,0.477121255
41.83,-87.66,3.402605242
41.85,-87.75,0.698970004
41.86,-87.63,4.532792585
41.88,-87.72,2.507855872
41.89,-87.68,3.901131251
41.9,-87.77,1
41.92,-87.71,3.889021422
41.93,-87.67,4.831786617
41.94,-87.8,2.705863712
41.95,-87.76,2.843232778
41.97,-87.85,2.305351369
41.98,-87.73,5.876445324
41.99,-87.69,3.651568739
42.02,-87.82,0
42.03,-87.78,2.5774918
41.71,-87.66,0
41.74,-87.63,1.556302501
41.75,-87.59,0
41.81,-87.67,1.477121255
41.86,-87.73,1.959041392
41.87,-87.69,3.271144318
41.91,-87.68,4.631869737
41.92,-87.81,1.531478917
41.93,-87.77,2.916453949
41.98,-87.83,1.079181246
41.99,-87.79,1.875061263
41.8,-87.65,3.109915863
41.81,-87.77,1.944482672
41.84,-87.63,3.324282455
41.94,-87.64,4.630051391
41.96,-87.73,2.591064607
41.97,-87.69,3.395850376
42.04,-87.75,2.780317312
41.72,-87.63,1.643452676
41.78,-87.65,0.77815125
41.8,-87.75,1.939519253
41.82,-87.64,3.420945406
41.84,-87.73,1.278753601
41.85,-87.69,3.291590826
41.88,-87.66,5.077524151
41.92,-87.65,5.493894218
41.94,-87.74,3.219060332
41.96,-87.83,2.281033367
41.98,-87.67,3.6198235
42,-87.74,1.954242509
42.02,-87.76,2.397940009
41.76,-87.66,1.748188027
41.82,-87.74,0.84509804
41.85,-87.79,1.477121255
41.86,-87.67,4.009493388
41.86,-87.7,2.880241776
41.9,-87.62,3.457579147
41.92,-87.75,3.604550033
41.94,-87.84,0.602059991
41.97,-87.7,2.957607287
41.97,-87.89,2.365487985
41.98,-87.77,1.740362689
41.7,-87.63,0.698970004
41.74,-87.67,0.301029996
41.79,-87.62,2.298853076
41.8,-87.59,0.602059991
41.83,-87.61,2.839478047
41.89,-87.63,6.659853094
41.9,-87.72,4.067405658
41.95,-87.71,3.648750213
41.96,-87.67,4.381566296
41.98,-87.87,1.875061263
41.99,-87.8,1.041392685
42.05,-87.82,2.426511261
41.77,-87.63,1.643452676
41.78,-87.59,0.301029996
41.79,-87.72,1.176091259
41.8,-87.69,1.643452676
41.81,-87.62,2.88536122
41.83,-87.71,3.560743301
41.84,-87.67,3.214313897
41.87,-87.64,4.968548321
41.89,-87.73,2.932980822
41.91,-87.63,5.47531809
41.93,-87.72,3.570309385
41.94,-87.68,4.50599061
41.95,-87.81,3.79740605
41.96,-87.77,3.405175546
41.99,-87.74,2.606381365
42,-87.68,2.72427587
42.01,-87.74,1.86332286
41.72,-87.67,0.301029996
41.75,-87.64,1.301029996
41.78,-87.69,0
41.81,-87.72,3.356217134
41.81,-87.7,0.301029996
41.82,-87.68,1.875061263
41.87,-87.74,2.217483944
41.91,-87.73,3.391111614
